begin_node_id,end_node_id,travel_time
42519223,42502645,14.5599
42427504,1544809889,27.8435
42469624,42467033,17.1493
277136465,42815933,25.6859
2141026551,42429536,12.8707
103876754,103876732,10.1697
371034153,371037077,30.5319
2141026510,42429732,17.1791
2141026515,42429536,9.92862
2141026504,42429732,10.4578
42861216,42908871,2.64373
561042193,42434951,19.9496
589100393,42423774,7.03198
42469475,42469478,13.3107
42469472,42469475,15.6074
42448216,596776127,18.7701
42448216,596776120,20.8559
42520210,42469118,32.8426
476241458,599270645,66.9065
277481542,277481814,14.7511
561042200,42432444,37.4622
42911782,42911763,56.189
2216963516,42433870,22.8325
42519202,42498552,9.70335
42911763,42911782,87.7391
42861196,42906428,21.9026
42469391,42469395,6.73636
42469389,42469382,22.171
42518739,42512120,30.8435
42518588,42516389,34.9888
277481423,277482762,29.0591
1258945357,278630368,29.5354
277481436,277481749,23.6545
589100267,42422509,27.2128
42446182,2799368116,12.576
103876893,103864941,4.1764
42469212,42469214,15.6879
486868873,486867490,25.5038
42427828,246650510,5.28874
2481865390,1773063789,34.9605
103237100,103245957,10.2762
42811451,42866518,5.0044
42810967,42880853,21.2686
42844301,276203987,5.66949
42467463,42518580,35.0123
486819535,486819536,14.6556
42423579,371034158,28.8016
103876555,103867934,9.57771
308693080,308679528,1.6043
308693078,308679524,4.7244
42423565,371034153,8.90803
42763894,42764835,18.8391
42518972,42492540,19.7369
42467848,42502968,25.8083
2447703173,42874679,9.20803
42811446,42861252,146.816
103867019,752178858,2.71613
42519271,42480534,10.99
42467919,42498514,4.15631
42427494,246650840,122.772
103875882,103882339,7.36719
451020319,451018391,13.1011
276067533,42899921,50.7272
42519258,42478109,3.86023
595314120,595314119,6.60626
370927297,42452882,156.143
42468453,42479028,26.1546
42468449,42479021,22.8184
42431363,595703314,48.7135
486868138,486876059,35.0845
42518580,42496521,35.0599
42519216,42476721,3.47057
595314036,595314040,8.56739
451018391,451074820,29.7398
42809790,42904563,13.0608
42444353,279151954,13.7549
42811340,42855098,44.2171
2447703173,42864879,9.73122
593301322,593216034,18.1653
42467403,42504433,29.5833
42860617,42896831,9.89837
42447230,596776032,20.4626
246890579,42453442,12.571
42517597,42519216,19.557
42466950,42516250,46.2596
42861190,42876764,17.2104
42447166,596776260,70.1309
1657671821,42764835,5.21994
42517603,42517600,39.5246
42517600,42517597,43.5629
2837053797,2318033748,1.85713
42437928,2481877067,16.1934
42466491,42527868,36.5319
42860179,42906104,15.9426
42447105,596776089,52.3648
42809536,42902909,43.362
103875882,103866383,11.1725
42439454,1061531707,15.9261
593973910,358448394,12.9069
42517465,42517467,26.3624
277768073,2089937994,7.47439
103875777,103867019,2.739
42466266,42529939,29.9943
42910603,42910593,39.9934
42466440,42523094,42.66
42860012,42904433,8.67659
100659881,277481443,17.4269
2447703182,42849658,9.87787
595757814,60921026,15.8243
42437670,593915305,57.714
530754330,103132818,2.75882
42445037,2698702581,127.368
42859957,42904454,11.8283
42433281,1692433942,11.5949
246890579,42440527,41.6591
42859920,42904507,15.3382
482640607,482640620,25.3563
42443156,595314036,20.3206
42860618,42880331,18.6314
482640620,482639370,43.4513
42435636,593973910,81.6403
42432438,561042200,25.6227
596271291,471243699,20.9055
278642254,486819531,10.9796
42517097,42517094,13.3233
248709733,248709714,6.3569
42517087,42517081,24.7295
248709714,248709733,7.24746
42836513,1904847201,30.9224
42467919,42467912,17.2702
486867548,486867605,15.9571
42441777,595352927,17.8148
42467929,42466383,13.9194
42810501,42856569,32.6561
486867605,486864444,18.3785
42517467,42502653,31.848
42467848,42467844,12.033
62915527,42453555,9.99916
246890279,42440918,9.31309
486867405,486868873,18.0629
597328332,597328336,49.6758
486867432,486867405,20.5352
42467912,42464292,15.8573
248709587,248709390,24.7169
42446461,596776078,17.431
42446461,596776041,20.7413
42438862,1061531695,67.8658
42762533,42766934,19.9266
246890279,42438060,23.6232
42437580,2481865390,19.9948
42517476,42497788,20.9355
42517021,42511729,33.6835
42467033,42488442,16.827
42517465,42497773,2.89548
42431099,587812578,99.7851
42517910,42483640,14.2386
42861252,42849847,59.5847
246890279,42436024,11.3656
103882084,440243651,2.5577
248709390,248709587,28.7579
42466412,42504046,13.4994
451068157,451068180,4.21686
451068154,451068157,1.98688
42466438,42502404,30.3992
451068180,451066683,3.73598
482652239,42909624,7.7226
62915536,42443549,14.8895
62915531,42443549,22.7648
42467081,42481677,9.90505
62915525,42443570,15.9289
42429211,595729841,2.71727
482640607,482623180,7.93254
42446155,596776546,36.7664
42467396,42469876,31.5855
42446138,596776201,30.7962
62915536,42440253,21.7822
42466454,42497788,42.9314
42446099,596776166,20.6213
42446086,596776260,21.4081
42860618,42860617,21.2705
42860617,42860618,15.6651
42446070,596776177,91.3188
595352904,561035372,7.20819
482640649,482617546,11.093
42860563,42860570,60.3279
42446021,596776089,41.2084
62915525,42437379,16.006
42446013,596776041,45.3404
